Id,Publisher,Alignment,Year
1,Marvel Comics,good,2008
2,Dark Horse Comics,good,1993
3,DC Comics,good,1959
4,Marvel Comics,bad,
5,Marvel Comics,bad,2001
6,Marvel Comics,bad,1964
8,DC Comics,good,1986
10,Marvel Comics,good,2007
13,Marvel Comics,bad,1998
15,Wildstorm,bad,
17,DC Comics,good,1943
18,Dark Horse Comics,bad,1979
20,DC Comics,bad,1960
23,Dark Horse Comics,good,
25,Marvel Comics,good,
28,DC Comics,good,1965
30,Giant-Man,good,1962
31,Marvel Comics,good,1979
32,DC Comics,bad,
34,Toxin,-,
35,Marvel Comics,bad,1986
37,DC Comics,good,1960
38,DC Comics,good,1941
39,Marvel Comics,good,
40,Angel,good,1963
42,Marvel Comics,good,
48,Goliath,good,
49,DC Comics,bad,
53,DC Comics,good,
56,Marvel Comics,good,1979
57,Marvel Comics,bad,2003
58,DC Comics,good,2008
60,DC Comics,bad,1993
61,Marvel Comics,good,1967
63,Oracle,good,
66,DC Comics,good,
69,DC Comics,good,
70,DC Comics,good,
71,Nightwing,good,
73,DC Comics,good,2006
75,Marvel Comics,good,
76,DC Comics,good,1965
80,Marvel Comics,good,
81,DC Comics,bad,
84,SyFy,good,
87,,good,
92,Marvel Comics,good,1991
93,DC Comics,neutral,1958
96,Marvel Comics,good,1965
97,DC Comics,good,
98,DC Comics,good,1947
99,Marvel Comics,good,1979
100,DC Comics,neutral,
102,Marvel Comics,good,1967
105,DC Comics,bad,1967
106,Marvel Comics,good,1966
107,Marvel Comics,good,
109,Marvel Comics,bad,1990
111,Marvel Comics,-,1994
112,Marvel Comics,good,1973
115,Marvel Comics,good,1994
120,Marvel Comics,bad,
121,Marvel Comics,good,1993
126,DC Comics,good,2006
127,George Lucas,bad,
130,Meltdown,good,
136,DC Comics,bad,1958
139,,-,1986
140,Dark Horse Comics,good,1998
141,Marvel Comics,bad,1976
142,DC Comics,good,
144,DC Comics,good,
145,Marvel Comics,good,
147,SyFy,good,
149,Marvel Comics,good,1941
150,DC Comics,good,
151,Marvel Comics,good,1976
152,DC Comics,neutral,2012
154,South Park,good,
156,DC Comics,good,1940
157,Binary,good,
158,DC Comics,good,1995
160,Marvel Comics,good,
162,Marvel Comics,bad,1991
165,DC Comics,good,
167,Marvel Comics,good,1994
169,Marvel Comics,good,1994
172,DC Comics,bad,1943
174,DC Comics,bad,1987
177,DC Comics,good,2007
181,DC Comics,bad,1960
185,Marvel Comics,good,1975
186,Marvel Comics,neutral,1991
188,Marvel Comics,bad,1985
191,Marvel Comics,good,1965
194,DC Comics,good,1980
195,DC Comics,bad,1990
196,Marvel Comics,good,1963
201,Marvel Comics,good,1964
202,Marvel Comics,good,1991
204,DC Comics,bad,1970
206,Marvel Comics,good,1976
207,George Lucas,bad,1999
208,George Lucas,bad,1977
209,Dark Horse Comics,good,2004
210,Star Trek,good,
211,Marvel Comics,good,1980
212,DC Comics,good,1967
213,Evil Deadpool,neutral,1991
214,DC Comics,bad,1950
215,Marvel Comics,good,1974
216,DC Comics,neutral,1980
217,Marvel Comics,bad,1992
219,Marvel Comics,bad,1972
221,Marvel Comics,good,1971
222,Marvel Comics,bad,1962
224,DC Comics,good,1940
225,Marvel Comics,bad,1963
226,Marvel Comics,good,1963
227,Marvel Comics,good,1992
228,IDW Publishing,good,
230,DC Comics,bad,1992
233,DC Comics,good,1986
234,Marvel Comics,good,1973
236,Dark Horse Comics,good,2004
237,Marvel Comics,bad,1964
238,Marvel Comics,good,
242,DC Comics,good,
246,DC Comics,neutral,1972
247,Deadpool,bad,2011
248,Marvel Comics,bad,1992
249,Marvel Comics,bad,1993
251,Marvel Comics,good,1969
253,DC Comics,bad,1977
256,Marvel Comics,good,
259,Marvel Comics,good,1985
261,DC Comics,good,1978
263,DC Comics,good,1940
265,Black Racer,good,1956
266,Speed Demon,good,1960
267,Impulse,good,1994
269,Marvel Comics,good,
273,Marvel Comics,neutral,1966
274,Marvel Comics,good,1990
275,Marvel Comics,good,1975
277,SyFy,good,
278,DC Comics,bad,
280,Marvel Comics,good,1972
285,Marvel Comics,neutral,1977
287,,bad,1954
289,Shueisha,good,
294,DC Comics,bad,1959
296,Marvel Comics,good,2005
297,George Lucas,bad,
298,DC Comics,good,1941
299,Marvel Comics,bad,1964
303,Marvel Comics,good,1960
305,DC Comics,good,
306,DC Comics,good,
307,George Lucas,good,1977
308,Sony Pictures,good,
309,DC Comics,bad,1999
310,J. K. Rowling,good,
311,Marvel Comics,good,
313,Goliath,good,1964
314,Marvel Comics,good,2005
320,DC Comics,bad,1963
321,Marvel Comics,bad,
322,Dark Horse Comics,good,1993
323,Marvel Comics,good,1976
325,Marvel Comics,good,
327,Icon Comics,good,
332,Marvel Comics,good,1962
333,Marvel Comics,good,1961
335,Marvel Comics,good,1984
336,Marvel Comics,good,
338,Marvel Comics,good,
339,Marvel Comics,good,
340,Flash IV,good,1994
341,George Lucas,good,1981
342,DC Comics,neutral,2008
343,Marvel Comics,good,2008
344,Marvel Comics,good,
345,Marvel Comics,good,1974
346,Marvel Comics,good,1963
350,Marvel Comics,good,1976
351,Dark Horse Comics,good,2004
352,Titan Books,good,1953
353,Star Trek,good,
354,George Lucas,good,
356,Phoenix,good,1963
357,Star Trek,good,1987
360,DC Comics,good,2013
361,Power Woman,good,1963
367,DC Comics,good,1985
370,DC Comics,bad,1940
372,Marvel Comics,good,1989
373,Rebellion,good,2000
374,Marvel Comics,neutral,1965
375,Marvel Comics,bad,1993
376,Marvel Comics,good,1975
380,Star Trek,good,
381,,good,
382,DC Comics,good,
383,Icon Comics,good,
384,DC Comics,good,1960
386,DC Comics,bad,1983
387,DC Comics,bad,
388,DC Comics,good,1986
389,,good,1933
390,DC Comics,bad,
391,Marvel Comics,bad,1967
392,Marvel Comics,bad,1966
394,Marvel Comics,bad,1997
395,Marvel Comics,bad,1964
396,DC Comics,good,1955
397,DC Comics,good,
398,George Lucas,bad,2015
400,Marvel Comics,bad,1985
403,Marvel Comics,good,1985
404,IDW Publishing,good,
405,DC Comics,bad,
410,Marvel Comics,neutral,
412,Marvel Comics,bad,
413,DC Comics,neutral,
414,Marvel Comics,bad,
415,Marvel Comics,good,1985
416,Power Man,good,1972
418,George Lucas,good,1977
419,Marvel Comics,good,
423,Marvel Comics,bad,
426,Image Comics,-,
427,DC Comics,neutral,1970
430,Marvel Comics,bad,1964
431,Marvel Comics,good,
432,DC Comics,good,1955
435,Microsoft,good,
441,Marvel Comics,good,1965
444,DC Comics,good,1963
445,DC Comics,bad,1987
450,IDW Publishing,good,
456,Marvel Comics,good,
457,DC Comics,bad,1959
458,Marvel Comics,bad,2000
459,DC Comics,bad,
460,Marvel Comics,bad,1987
461,DC Comics,bad,
462,Marvel Comics,good,1971
463,Marvel Comics,bad,
470,Marvel Comics,good,1975
475,Marvel Comics,good,
476,Dark Horse Comics,good,2004
479,Marvel Comics,bad,1964
480,Marvel Comics,bad,
481,Marvel Comics,good,1939
485,Shueisha,good,
487,Marvel Comics,bad,1985
488,Marvel Comics,good,
489,Marvel Comics,good,1963
491,Batman II,good,
493,SyFy,good,
496,Marvel Comics,good,1976
497,Marvel Comics,good,1975
498,Marvel Comics,good,
502,Shueisha,good,
503,Marvel Comics,neutral,
504,Marvel Comics,bad,1996
505,Batgirl,good,1989
508,DC Comics,bad,
509,DC Comics,bad,
510,Sony Pictures,good,
514,DC Comics,bad,1941
517,Jean Grey,good,1963
518,Marvel Comics,bad,1963
520,DC Comics,good,1941
522,DC Comics,bad,1966
523,Marvel Comics,good,1968
524,DC Comics,good,1976
526,Dark Horse Comics,bad,1987
527,Marvel Comics,good,1963
528,DC Comics,bad,1963
529,Marvel Comics,good,1976
530,Marvel Comics,good,
531,Marvel Comics,bad,1964
533,Star Trek,-,
535,DC Comics,good,1967
536,Marvel Comics,good,
538,DC Comics,bad,1971
539,SyFy,good,
541,IDW Publishing,good,
542,DC Comics,neutral,1980
543,DC Comics,good,
545,DC Comics,good,1941
546,Robin II,neutral,
547,Marvel Comics,neutral,1962
549,Robin III,good,1989
551,DC Comics,good,
555,George Lucas,good,2015
556,Marvel Comics,bad,
559,DC Comics,good,
561,Batman II,good,1940
562,Red Hood,good,
563,Red Robin,good,1989
564,DC Comics,good,
565,DC Comics,neutral,
566,Marvel Comics,good,1976
568,Goliath,good,
569,DC Comics,good,1986
570,Marvel Comics,bad,1977
572,Marvel Comics,neutral,1963
574,J. R. R. Tolkien,bad,
576,DC Comics,bad,1941
577,Spider-Carnage,good,
578,Marvel Comics,good,1994
579,Marvel Comics,bad,1964
581,Venom III,bad,1964
582,Marvel Comics,bad,
583,Marvel Comics,neutral,2000
585,DC Comics,good,
586,Marvel Comics,good,1980
587,Marvel Comics,good,1973
589,Marvel Comics,good,
590,Ms Marvel II,good,
591,Marvel Comics,bad,
594,Marvel Comics,good,1964
595,Marvel Comics,good,
598,Marvel Comics,good,
600,DC Comics,good,2012
601,DC Comics,neutral,
602,DC Comics,bad,1965
609,DC Comics,bad,1944
611,DC Comics,good,1966
612,Image Comics,good,1992
613,Aztar,good,1940
615,DC Comics,good,
618,Marvel Comics,good,1998
619,Marvel Comics,good,
620,Marvel Comics,good,
623,Marvel Comics,good,1977
627,Star Trek,good,
628,Marvel Comics,good,2000
630,Marvel Comics,good,1976
632,DC Comics,good,1980
633,DC Comics,good,1999
634,DC Comics,good,1993
637,DC Comics,bad,
638,Marvel Comics,good,1975
639,George Lucas,bad,1977
640,Marvel Comics,good,1982
642,DC Comics,bad,1985
643,DC Comics,good,2004
644,Superman Prime One-Million,good,
645,DC Comics,bad,1972
646,Marvel Comics,bad,1977
649,Dark Horse Comics,bad,
650,Dark Horse Comics,bad,1984
651,Dark Horse Comics,bad,2003
652,Dark Horse Comics,bad,
653,Marvel Comics,bad,
655,Marvel Comics,bad,
657,DC Comics,neutral,1986
658,Marvel Comics,good,1961
659,Rune King Thor,good,1962
660,Marvel Comics,good,
666,Marvel Comics,bad,1968
670,Marvel Comics,neutral,1964
671,Marvel Comics,good,2004
672,Anti-Venom,good,
677,Marvel Comics,good,1965
680,Marvel Comics,bad,1968
681,Marvel Comics,bad,
686,Shueisha,bad,
687,Anti-Venom,bad,
689,Scorpion,bad,1964
690,Deadpool,-,2011
692,DC Comics,good,
693,Vindicator II,good,1980
696,Dark Horse Comics,good,2004
697,Anti-Vision,good,
699,DC Comics,good,1981
701,Marvel Comics,bad,
702,Marvel Comics,bad,1984
703,Marvel Comics,good,1979
707,Thunderbird II,good,1984
708,Marvel Comics,good,
711,DC Comics,bad,
714,Marvel Comics,good,2005
717,Marvel Comics,good,
718,DC Comics,good,1996
720,DC Comics,good,1941
723,Marvel Comics,good,
726,Ant-Man,good,
727,Marvel Comics,good,
728,Marvel Comics,good,
729,George Lucas,good,1980
730,DC Comics,good,
